node,x,y,z
bug,0.6729787004256339,-0.49923546303790745,0.1187271328558436
building,0.010947754470375038,-0.13841944467951836,0.13821318262572582
house,-0.12315707067090333,-0.04999142848113559,0.10682852380051962
tall,0.1568199968957098,-0.20581197292936587,0.14294778643985495
business,-0.0392890433417009,0.2671395646916933,0.20013397914731182
buy,0.14537296459805926,0.3735416823718282,0.0775740055240815
chocolate,0.024571439819223072,0.08889382758237824,-0.24832280081335353
eat,-0.028648425228215986,0.42134397878183993,-0.1991729076610897
calm,-0.2085738624340548,-0.32048161769550365,-0.5016409293698437
quiet,-0.22384234391023894,-0.4139888039271009,-0.600768806754302
camera,0.24570304649305855,-0.01655061491420748,0.6277026509343606
film,0.3886095737709261,-0.0848916597871828,0.7001110504531782
cancer,0.21340373448006222,-0.033033683103281246,-0.3081738719160223
death,0.12289908507671202,-0.09791762652597272,-0.2780771332450125
disease,0.2665303373472224,-0.07434378420637455,-0.2852915833290063
sick,0.3132722921203624,-0.06413465084797558,-0.23100945171150908
candy,0.059604237516778256,0.03690302515279678,-0.3448457608482108
sugar,0.07721095648554789,0.06233081450920688,-0.3599376606211486
sweet,0.05694168766743081,-0.030233705024388605,-0.33978281386267617
card,-0.2062658395226196,0.18789365433923189,0.11412598824754762
cards,-0.17824096284561647,0.01452261327322831,0.1663702085704388
change,0.05241320766125068,0.5156415501968532,0.2749163005540431
cheese,0.12333254895426941,0.13042318869143882,-0.05219308801264346
mouse,0.31985549741521746,-0.009736295282702185,0.021377801354173085
chemistry,0.24237536821112782,0.22494409791020167,-0.04966207938660457
science,0.1865040269472813,0.19490304273181105,-0.039944374512652064
chicken,0.12907594193619992,0.6306949323360351,-0.3210755705272024
egg,0.1605519261033311,0.7122732774412835,-0.3124782279028031
soup,0.09286311142370443,0.478906962590117,-0.3096161281339115
chips,-0.12160282932781559,0.6283000770021109,-0.48107099225702943
fish,-0.11299873693679438,0.5505231846364663,-0.4227810646127463
potato,-0.13285939032024424,0.7225832012066131,-0.552396610835442
christmas,-0.0891859804451862,0.386172825609687,0.18412436266329726
church,0.490417601720297,-0.66497444656309,0.9865931974747403
cigarette,0.20089551202650588,0.15069006367919288,-0.3839933460354054
smoke,0.1463439442966757,0.2608211125366001,-0.39869198167166525
circle,-0.23447462956606271,0.020234138270749394,-0.12059577894694203
clean,-0.2068885373063447,-0.10396225984388542,0.24414264739741712
dirty,-0.25656984769132435,-0.13394609929993778,0.3223539912361933
clear,-0.1383828803534574,0.4898931888829493,-0.30544985818631926
cloth,-0.0199384747673222,-0.24247623023174666,0.4728549137427926
clothes,0.0009007218690383618,-0.2082473057766783,0.4052925219862257
shirt,-0.028133034072677997,-0.2547423041891335,0.5007489498976359
coffee,-0.11319294911345437,0.45437738659900045,-0.11974427609158687
tea,-0.11589997890504707,0.4403840958955413,-0.05560426654683982
cold,0.01650082054537502,0.343323712644965,-0.34619388143971036
hot,0.08544768500673557,0.35708253130291623,-0.33275636975585815
ice,-0.018453618936330612,0.3836703090807288,-0.36072059599998735
weather,-0.02602683524025388,0.3612890254078802,-0.4029393560462972
college,0.5799119256906669,0.25079773681305134,-0.15386954020667026
school,0.6062826625806362,0.24537633689409638,-0.18074086120419783
university,0.53076180400407,0.24792420571848514,-0.12140581405148879
computer,0.45155226842455387,-0.01473836088620749,-0.02292115944154015
