source,target,weight
spaghetti,lekker,0.07
spaghetti,rood,0.06
speelgoed,bal,0.09
speelgoed,kind,0.08
speelgoed,kinderen,0.07
speelgoed,sinterklaas,0.06
speelgoed,spelen,0.06
spel,leuk,0.07
spel,spelen,0.06
spelen,bal,0.11
spelen,kinderen,0.2
spelen,plezier,0.07
spelen,speelgoed,0.06
sport,lopen,0.07
sport,voetbal,0.22
sport,zwemmen,0.06
spreken,babbelen,0.08
spreken,praten,0.32
spreken,taal,0.13
springen,touw,0.09
stad,druk,0.07
stank,geur,0.13
stank,vies,0.09
steen,hard,0.34
steen,huis,0.09
sterk,man,0.06
sterren,hemel,0.5
stil,luid,0.09
stil,rust,0.1
stil,rustig,0.24
stoel,tafel,0.19
stoel,zitten,0.42
stof,kledij,0.06
stof,vuil,0.13
stom,dom,0.37
stop,auto,0.06
stop,rood,0.09
stop,verkeer,0.08
stoppen,roken,0.06
stoppen,rood,0.1
straat,huis,0.08
straat,weg,0.13
strand,vakantie,0.06
strand,zand,0.23
strand,zee,0.3
strand,zon,0.18
stress,druk,0.07
stress,werk,0.25
studeren,boeken,0.07
studeren,leren,0.27
stuk,deel,0.13
stuk,kapot,0.46
suiker,snoep,0.06
suiker,wit,0.06
suiker,zoet,0.44
taal,spreken,0.11
taart,lekker,0.25
taart,verjaardag,0.14
tafel,eten,0.26
tafel,stoel,0.33
tanden,mond,0.07
tanden,poetsen,0.1
tanden,wit,0.26
tekenen,kleuren,0.06
tekenen,papier,0.08
tekenen,potlood,0.44
tekening,kind,0.14
tekening,kinderen,0.11
tekening,kleuren,0.08
televisie,film,0.1
theater,toneel,0.3
thee,drank,0.06
thee,koffie,0.1
thee,warm,0.1
thuis,familie,0.06
thuis,gezellig,0.18
thuis,huis,0.1
thuis,warm,0.08
thuis,warmte,0.06
tijd,klok,0.2
toilet,papier,0.06
tranen,huilen,0.06
tranen,verdriet,0.43
tranen,wenen,0.22
trein,reizen,0.07
trein,snel,0.07
trouwen,kerk,0.06
trouwen,man,0.11
trouwen,ring,0.15
trouwen,wit,0.07
tuin,bloemen,0.22
tuin,gras,0.26
tuin,groen,0.07
turnen,sport,0.09
tv,film,0.07
twee,getal,0.07
universiteit,school,0.08
universiteit,studeren,0.15
vakantie,zomer,0.06
vakantie,zon,0.37
vallen,pijn,0.44
vals,geld,0.06
varken,boerderij,0.07
varken,dier,0.09
vast,hard,0.06
vechten,geweld,0.06
vechten,pijn,0.11
vechten,ruzie,0.13
vechten,slaan,0.06
veel,eten,0.06
veel,weinig,0.23
ver,weg,0.14
verdriet,pijn,0.2
verdriet,tranen,0.23
verdriet,wenen,0.21
verf,borstel,0.1
verf,kleur,0.17
verf,muur,0.08
verf,rood,0.08
verhaal,boek,0.15
verhaal,sprookje,0.18
verjaardag,cadeau,0.07
verjaardag,feest,0.17
verjaardag,taart,0.21
verkeer,auto,0.28
verkeer,druk,0.14
verkoudheid,neus,0.08
verkoudheid,ziek,0.13
verleden,geschiedenis,0.11
verleden,toekomst,0.09
verleden,vroeger,0.07
verlegen,rood,0.17
vervelend,saai,0.3
vet,dik,0.45
vet,eten,0.07
vies,modder,0.1
vies,vuil,0.37
vis,eten,0.07
vis,water,0.14
vis,zee,0.14
vissen,saai,0.07
vissen,water,0.16
vissen,zee,0.07
vlees,dier,0.06
vlees,eten,0.11
vlees,koe,0.13
vlees,lekker,0.07
vlees,rood,0.06
vliegen,vliegtuig,0.27
vliegen,vogel,0.13
vliegtuig,lucht,0.16
vliegtuig,reis,0.06
vliegtuig,reizen,0.07
vliegtuig,vakantie,0.1
vliegtuig,vliegen,0.07
voet,bal,0.07
voet,schoen,0.15
voetbal,bal,0.12
voetbal,rond,0.08
voetbal,sport,0.11
vogel,ei,0.06
vogel,lucht,0.07
vogel,vliegen,0.21
vogels,lucht,0.08
vogels,natuur,0.06
vogels,vliegen,0.16
vriendelijk,lachen,0.06
vriendelijk,lief,0.3
vriendelijk,vrienden,0.07
vrienden,gezellig,0.06
vrienden,plezier,0.06
vrij,vogel,0.09
vroeger,nu,0.14
vroeger,verleden,0.08
vrolijk,blij,0.4
vrolijk,lachen,0.1
vrouw,man,0.29
vrouw,moeder,0.06
vrouw,mooi,0.13
vrucht,appel,0.29
vrucht,fruit,0.09
vuil,afval,0.06
vuil,modder,0.1
vuil,vies,0.17
vuur,warm,0.36
vuur,water,0.06
wachten,dokter,0.1
wachten,tijd,0.07
wachten,vervelend,0.06
wandelen,bos,0.25
wandelen,natuur,0.06
wapen,dood,0.08
wapen,gevaarlijk,0.09
wapen,geweer,0.11
wapen,geweld,0.11
wapen,oorlog,0.06
warm,heet,0.06
warm,koud,0.19
warm,zomer,0.15
warm,zon,0.19
warmte,gezellig,0.09
warmte,vuur,0.18
warmte,zon,0.18
was,kledij,0.06
was,vuil,0.17
wassen,proper,0.09
wassen,vuil,0.08
wassen,water,0.09
water,blauw,0.08
water,drinken,0.18
water,nat,0.06
water,zee,0.09
wedstrijd,sport,0.08
wedstrijd,voetbal,0.17
wedstrijd,winnen,0.24
weer,regen,0.2
weer,zon,0.23
weg,auto,0.1
weg,straat,0.18
weinig,geld,0.07
weinig,niets,0.08
weinig,veel,0.22
wenen,huilen,0.21
wenen,tranen,0.2
wenen,verdriet,0.21
werken,geld,0.19
werken,studeren,0.06
wijn,frankrijk,0.08
wijn,lekker,0.06
wijn,rood,0.31
wind,koud,0.16
