source,target,weight
rich,poor,0.272727272727273
right,wrong,0.35
ring,circle,0.06
ring,finger,0.19
ring,wedding,0.08
river,water,0.23
road,street,0.17
rock,hard,0.16
rock,music,0.09
rock,stone,0.22
room,bed,0.101010101010101
room,house,0.0606060606060606
room,space,0.202020202020202
round,ball,0.171717171717172
round,circle,0.333333333333333
round,square,0.0707070707070707
rude,mean,0.142857142857143
run,away,0.1
run,fast,0.2
run,walk,0.12
sad,cry,0.0618556701030928
sad,happy,0.175257731958763
same,different,0.206185567010309
same,like,0.0618556701030928
sandwich,bread,0.161616161616162
sandwich,eat,0.0606060606060606
sandwich,food,0.111111111111111
sandwich,meat,0.0606060606060606
scared,fear,0.0707070707070707
scary,movie,0.09
science,knowledge,0.08
science,study,0.09
sea,ocean,0.47
secret,quiet,0.0612244897959184
see,eyes,0.09
see,look,0.19
sex,female,0.0824742268041237
sex,love,0.0721649484536082
sexy,hot,0.173469387755102
sharp,knife,0.282828282828283
sheep,animal,0.07
shiny,bright,0.121212121212121
shiny,metal,0.0808080808080808
shiny,new,0.0707070707070707
ship,boat,0.35
shirt,clothes,0.0808080808080808
shirt,pants,0.101010101010101
shoe,foot,0.14
shop,buy,0.161616161616162
shop,store,0.252525252525253
shopping,bag,0.06
shopping,money,0.09
short,long,0.16
short,small,0.11
short,tall,0.24
show,tell,0.122448979591837
show,time,0.0612244897959184
sick,tired,0.08
sign,language,0.12
sign,stop,0.11
sign,up,0.06
silly,fun,0.0606060606060606
silly,funny,0.171717171717172
silly,stupid,0.0909090909090909
skin,soft,0.0714285714285714
sleep,bed,0.15
sleep,night,0.06
sleep,tired,0.09
small,big,0.0707070707070707
small,large,0.191919191919192
small,tiny,0.292929292929293
smell,nose,0.18
smoke,cigarette,0.15
smoke,fire,0.22
snow,cold,0.15
snow,fall,0.06
snow,white,0.36
soft,hard,0.13
song,bird,0.0808080808080808
song,music,0.242424242424242
sound,loud,0.07
sound,music,0.16
sound,noise,0.26
soup,food,0.06
soup,hot,0.09
soup,warm,0.08
space,area,0.08
speak,talk,0.44
speed,car,0.111111111111111
speed,fast,0.343434343434343
spice,food,0.0606060606060606
spice,hot,0.0707070707070707
spice,life,0.0606060606060606
spice,sugar,0.0606060606060606
sport,football,0.14
sport,game,0.08
square,box,0.09
square,circle,0.13
square,round,0.13
star,bright,0.08
star,light,0.06
star,sun,0.11
stars,night,0.08
state,country,0.0909090909090909
steal,thief,0.262626262626263
stick,ball,0.06
stick,stone,0.08
stick,tree,0.06
stone,hard,0.06
stone,rock,0.54
stop,go,0.35
stop,sign,0.17
store,buy,0.0707070707070707
store,shop,0.171717171717172
story,book,0.17
street,car,0.07
street,road,0.27
strength,power,0.17
strength,strong,0.2
strong,man,0.0808080808080808
strong,weak,0.171717171717172
study,books,0.08
study,hard,0.06
stupid,dumb,0.377551020408163
stupid,idiot,0.112244897959184
stupid,smart,0.0714285714285714
sugar,sweet,0.424242424242424
sun,bright,0.13
sun,hot,0.06
sun,light,0.06
sun,moon,0.23
sun,warm,0.06
sweet,candy,0.111111111111111
sweet,nice,0.0808080808080808
sweet,sugar,0.202020202020202
talk,speak,0.252525252525253
tall,big,0.07
tall,high,0.07
tall,short,0.26
tea,bag,0.07
tea,coffee,0.17
tea,cup,0.1
tea,drink,0.11
tea,party,0.1
teacher,school,0.0707070707070707
teeth,white,0.25
television,show,0.08
television,tv,0.14
tell,show,0.0707070707070707
tell,speak,0.0606060606060606
tell,story,0.0707070707070707
thief,steal,0.24
thin,fat,0.13
think,brain,0.0909090909090909
think,hard,0.0606060606060606
think,idea,0.0707070707070707
throw,away,0.09
throw,ball,0.19
time,watch,0.0606060606060606
tiny,mouse,0.0606060606060606
tiny,small,0.474747474747475
tired,sleep,0.0918367346938776
together,all,0.0612244897959184
together,forever,0.0714285714285714
toilet,paper,0.102040816326531
trash,can,0.11
trash,garbage,0.39
travel,plane,0.07
tree,green,0.09
trees,green,0.272727272727273
true,blue,0.06
true,false,0.4
truth,honest,0.08
truth,lie,0.14
tv,television,0.163265306122449
two,one,0.0808080808080808
university,college,0.323232323232323
university,school,0.161616161616162
university,study,0.0606060606060606
up,down,0.56
up,high,0.09
vegetable,food,0.08
vegetable,fruit,0.13
vegetable,green,0.08
wait,stop,0.07
wait,time,0.09
walk,run,0.24
walk,talk,0.1
war,death,0.07
war,fight,0.07
war,peace,0.19
warm,cold,0.17
warm,hot,0.16
watch,look,0.1
watch,see,0.11
watch,time,0.14
