node,degree,strength,entropy,entropy_norm,kappa,C_ent,valence_centered,arousal_raw,dominance_raw,x,y,radius,embedding_engine,n_local,local_edges,mean_degree_local,eta_local_raw,node_index,log_degree_raw,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
angry,2,0.9342424242424241,0.2662010746373557,0.3840469702586259,-0.0833335,-0.0513295218039528,-0.6175,6.2,4.11,-0.13994671705799752,-0.42433083457477727,0.44681286998724445,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,10,0.6931471805599453,-0.0833335,0.38404697,-0.10265905,-0.6175,-0.13994671,-0.42433083,-0.45952368,-0.72108763
animal,9,0.87,2.100350185192177,0.9559105641074308,-0.2938273333333334,-0.012954681376484561,0.5149999999999999,4.3,5.72,-0.7366395815764695,0.2673461424589474,0.7836528778948213,gensim_poincare,10,11,2.2,0.4840000000000001,11,2.1972245773362196,-0.29382733,0.95591056,-0.025909362,0.515,-0.73663956,0.26734614,0.71326935,-0.8338525
animals,2,0.16999999999999998,0.6914160776171183,0.9975025463691153,0.0833335,0.00020812155214933151,0.0,5.0,5.0,-0.7386647547672621,0.2616271109827809,0.7836289716036384,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,12,0.6931471805599453,0.0833335,0.99750257,0.0004162431,0.0,-0.73866475,0.2616271,-0.45952368,-0.72108763
apple,5,1.317742733457019,1.3576335500816132,0.8435451529958927,-0.1438094,-0.022499677674752465,0.405,3.52,6.44,-0.21574091008204074,-0.7546381584174133,0.7848712572279942,gensim_poincare,6,7,2.3333333333333335,0.9074074074074076,13,1.6094379124341003,-0.1438094,0.84354514,-0.044999354,0.405,-0.2157409,-0.75463814,0.25494713,-0.39417714
area,3,0.3830303030303032,0.8435193129457907,0.7678043670605778,-0.361111,-0.08384839720638772,0.1399999999999999,2.19,5.06,-0.5534233110550116,-0.3048720614653041,0.6318420175021572,gensim_poincare,4,3,1.5,0.5625,14,1.0986122886681098,-0.361111,0.7678044,-0.16769679,0.14,-0.5534233,-0.30487207,-0.14336532,-0.75233644
arm,1,0.0808080808080808,-0.0,0.0,0.333333,0.333333,0.1100000000000001,3.44,6.02,-0.5261977597970506,-0.18840903619153612,0.5589114843461871,gensim_poincare,2,1,1.0,0.5,15,0.0,0.333333,0.0,0.666666,0.11,-0.52619773,-0.18840903,-1.0,-0.8172378
army,2,0.37161616161616157,0.556360235739105,0.8026581530486214,0.4166665,0.08222573667276659,-0.0874999999999999,4.49,4.65,-0.486251170989831,-0.0954786947220729,0.4955364592386848,gensim_poincare,3,3,2.0,1.3333333333333333,16,0.6931471805599453,0.4166665,0.80265814,0.16445148,-0.0875,-0.48625118,-0.09547869,-0.45952368,0.048113532
art,3,0.545102040816327,0.7139307987343748,0.6498478181050575,0.08333366666666668,0.029179465208639174,0.4624999999999999,4.48,6.02,-0.4162928104358947,-0.5632865124524702,0.7004223005669384,gensim_poincare,4,4,2.0,1.0,17,1.0986122886681098,0.08333366,0.6498478,0.05835893,0.4625,-0.41629282,-0.5632865,-0.14336532,-0.298027
away,3,0.27,1.0944885526930284,0.9962464137552286,-0.18611133333333332,-0.0006985849407960651,0.0,5.0,5.0,-0.7025798001730019,-0.09420545839522916,0.708867437538635,gensim_poincare,4,3,1.5,0.5625,18,1.0986122886681098,-0.18611133,0.9962464,-0.0013971699,0.0,-0.7025798,-0.09420546,-0.14336532,-0.75233644
baby,2,0.33191919191919195,0.6711947691175175,0.9683293648764554,-0.166667,-0.005278449744135812,0.4175,4.97,4.94,-0.021951293810526205,-0.4904611540555125,0.49095213915148717,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,19,0.6931471805599453,-0.166667,0.96832937,-0.0105569,0.4175,-0.021951294,-0.49046114,-0.45952368,-0.72108763
bad,5,1.2416326530612245,1.149936146166068,0.7144955001258261,-0.3366668,-0.09611988635823854,-0.4399999999999999,4.86,3.56,0.4263917892174771,-0.4684712812731597,0.6334629423176997,gensim_poincare,6,6,2.0,0.6666666666666666,20,1.6094379124341003,-0.3366668,0.7144955,-0.19223978,-0.44,0.42639178,-0.4684713,0.25494713,-0.64416754
bag,3,0.2716326530612245,1.0716401327561162,0.9754488856622086,-0.266667,-0.006546972007115831,0.0124999999999999,3.43,5.62,0.049625974655646894,0.136332271512634,0.14508351255851734,gensim_poincare,4,3,1.5,0.5625,21,1.0986122886681098,-0.266667,0.9754489,-0.013093944,0.0125,0.049625974,0.13633227,-0.14336532,-0.75233644
