idx,node,kappa,entropy_norm,c_ent,valence,poincare_x,poincare_y,log_degree,eta_local
73,agreeing,-0.23304364332640062,0.9999999999999989,-0.0,0.0,0.10120978217595897,-0.2348250228868626,0.3440216211186347,1.0
74,agrees,-0.06827857087835296,0.9999999999999988,-1.2169449671768106e-16,0.0,-0.12747041747705964,-0.02696923293902639,0.3255802149534502,1.0
75,ahead,-0.2464316369312903,0.9849357563894747,-0.0595964071938157,0.0,-0.0672104610495619,-0.2065487354105184,0.4240020933059449,1.0
76,ailments,-0.2643304391843562,0.9999999999999989,-0.0,0.0,-0.11729392793895861,-0.25687993536597886,0.3440216211186347,1.0
77,aiming,0.05365798972191962,0.9999999999999989,0.0,0.0,-0.058327356172728585,-0.382245101862836,0.3440216211186347,1.0
78,alarming,-0.09605094472505583,0.9999999999999989,-0.0,0.0,-0.2025380397823893,-0.04223471748799705,0.3440216211186347,1.0
79,alcohol,-0.37334440625387294,0.9958711141348657,-0.024746786602636243,0.0,-0.2041923202442853,-0.900823961771027,0.6461895048702664,1.0
80,alcoholic,-0.13148707536892146,0.9999999999999989,-0.0,0.0,-0.06329251646984074,-0.11187122221874246,0.3440216211186347,1.0
81,alcoholism,-0.26609664036622543,0.9999999999999991,9.485405541169617e-16,0.0,-0.0034523906261220015,-0.32426479597905716,0.2805375488771341,1.0
82,alien,-0.20319051038262195,0.9999999999999989,-0.0,0.0,-0.015276720922389578,-0.08099386622809081,0.3440216211186347,1.0
83,alive,-0.15028482974407506,0.9757558506821594,-0.05849225713511664,0.0,0.38556650500475914,-0.8548705567214953,0.6841287636703075,1.0
84,alivei,-0.18375438799203284,0.9999999999999989,-0.0,0.0,-0.09200071148577253,-0.06391635039610358,0.3440216211186347,1.0
85,allegations,-0.0822614390412994,0.9999999999999989,-0.0,0.0,0.04782778268120046,-0.338796594587665,0.3440216211186347,1.0
86,allow,-0.19597886610984558,0.9999999999999989,-0.0,0.0,0.02297016445789075,-0.4202662776168114,0.3440216211186347,1.0
87,allowance,-0.3277594486261046,0.9999999999999989,-0.0,0.0,-0.3826856721478759,-0.3981450246674051,0.4435990101561753,1.0
88,allowed,-0.18622070167738947,0.9735807536858523,-0.07898137122160567,0.0,-0.04677586359136511,-0.736316655576751,0.556664355738008,1.0
89,allrady,-0.33182023263235505,0.9999999999999989,-0.0,0.0,-0.15062586029852523,-0.2714491531943345,0.2519912827466275,1.0
90,almost,-0.1537467706410214,0.9564260980280845,-0.10754958556675229,0.0,0.44559152863352003,0.8364217645872368,0.7286751662973253,1.0
91,alone,-0.1419278484808469,0.9645821202802263,-0.08069868626765649,0.0,0.4846971630591803,0.8170355438455081,0.7956004976608111,1.0
92,along,-0.31962949159237275,0.9973689907438642,-0.013500364885772151,0.0,-0.26495896577123534,0.7308098994337292,0.5736074635108712,1.0
93,alpha,-0.17058834857438407,0.9755037590061073,-0.06708494956430008,0.0,0.05280645350822339,-0.2693048112665042,0.3046730729913804,1.0
94,already,-0.16950700688015663,0.9836341521717027,-0.04453510193727104,0.0,0.45738805543831745,0.8324670915487853,0.7596871682247172,1.0
95,although,-0.22316808210359515,0.9999999999999989,-0.0,0.0,0.28770830353653815,0.002461164685627455,0.4435990101561753,1.0
96,altogether,-0.11208774883628805,0.9999999999999991,3.995532421776124e-16,0.0,-0.1607549477082406,-0.2129463101536174,0.2805375488771341,1.0
97,always,-0.2667212344839363,0.9582382412500969,-0.17881858727585206,0.0,-0.1367377545445997,0.9401077875951426,0.8861107174206617,1.0
98,amazing,-0.20385229936284707,0.9956201166174142,-0.01433357253287315,0.0,0.4035015001680874,-0.32813973288767934,0.5101233912693706,1.0
99,amazon,-0.12156835638748587,0.9999999999999989,-0.0,0.0,0.10209453247654823,-0.2648235836476561,0.3440216211186347,1.0
100,ambulance,0.08556756407293699,0.9999999999999989,0.0,0.0,0.06648420407642697,-0.3135376965633964,0.3440216211186347,1.0
101,america,-0.06808953154402297,0.9999999999999989,-0.0,0.0,-0.12466750686350644,-0.06908348487938121,0.3440216211186347,1.0
102,amidst,-0.28439533351883556,0.9795697645470599,-0.09327647482391961,0.0,0.08023780594434492,-0.2535318300314029,0.3255802149534502,1.0
103,among,-0.25378232850749444,0.9902871167541433,-0.03957180249680334,0.0,0.035098974017593036,-0.33393586346501486,0.41319981130919714,1.0
104,amount,-0.13456795472802707,0.9999999999999989,-0.0,0.0,-0.2011318571494784,-0.04051625790345216,0.3440216211186347,1.0
105,anchor,-0.20070593025431094,0.9999999999999989,-0.0,0.0,0.0601048258016484,-0.1651050047775069,0.3440216211186347,1.0
106,ancient,0.18712275648432428,0.9999999999999989,0.0,0.0,0.17047033563178532,-0.07522652757129676,0.3440216211186347,1.0
107,andshe,-0.2713938683657412,0.9999999999999989,-0.0,0.0,-0.07929962654878067,-0.266975128475919,0.3440216211186347,1.0
108,angel,0.03872334191674094,0.9999999999999989,0.0,0.0,0.03460783516739882,-0.17669544267991474,0.3440216211186347,1.0
109,anger,-0.17848535868739887,0.9999999999999989,-0.0,0.0,-0.028567467735757125,-0.07584080136199878,0.3440216211186347,1.0
110,angle,-0.1580437121037052,0.9999999999999989,-0.0,0.0,-0.07278832698330531,-0.09772033205792464,0.3440216211186347,1.0
111,angry,-0.3267994893972908,0.9827115716834236,-0.09070122853883338,0.0,-0.4675964447590617,-0.7837621552050397,0.6330245282038633,1.0
112,ankles,0.6491834758399085,0.9999999999999989,0.0,0.0,0.01421371558459349,-0.057770347131961566,0.2519912827466275,1.0
113,anniversary,-0.38116038317211937,0.9999999999999989,-0.0,0.0,-0.17285552623731115,-0.5355005840096064,0.4435990101561753,1.0
114,annoyed,-0.23153260594456002,0.9999999999999989,-0.0,0.0,0.1346340442930439,-0.29157671949159536,0.3440216211186347,1.0
115,annoying,-0.23706969479383314,0.9999999999999989,-0.0,0.0,-0.023739916300095306,0.13858616220544198,0.4435990101561753,1.0
116,anonymous,-0.28770371837619535,0.9999999999999989,-0.0,0.0,0.045984138502700445,-0.3146214057580241,0.3440216211186347,1.0
117,another,-0.2720733021634589,0.9652833097774239,-0.15163537466194665,0.0,0.8315021418390489,-0.4594558873674235,0.7956004976608111,1.0
118,answer,-0.4947216857592464,0.988869503121499,-0.08839990263318259,0.0,-0.4518618731617817,-0.7655262097885887,0.5814376444292814,1.0
119,answering,-0.18194839422679374,0.9849357563894747,-0.04400194198127355,0.0,0.05790491588283631,-0.10999509300190742,0.4240020933059449,1.0
120,answers,-0.32532186330604834,0.8508455902280981,-0.7789787950174722,0.0,0.3447637115217495,-0.16837110110569287,0.469044759382261,1.0
121,anticipated,0.05495306636734784,0.9999999999999989,0.0,0.0,0.08164011325063833,0.039267287916738745,0.3440216211186347,1.0
122,anticipation,-0.3179134616442728,0.9999999999999989,-0.0,0.0,0.06859487799267451,-0.14192914485910862,0.2519912827466275,1.0
123,antihistamines,-0.13596619733034015,0.9999999999999989,-0.0,0.0,0.09492973181212053,-0.24865658953845898,0.3440216211186347,1.0
124,anxieties,-0.16699095165780814,0.9999999999999989,-0.0,0.0,-0.006361461886982218,-0.2447214050277664,0.3440216211186347,1.0
125,anxiety,-0.343457907224652,0.9858633071673168,-0.07794668102663795,0.0,-0.4487088716472345,0.8370030535494161,0.7559738482398827,1.0
126,anxious,-0.026987540584224194,0.9932796552580573,-0.0029115962230392895,0.0,0.037196717584299516,-0.800141996980784,0.6125093038110718,1.0
127,anymore,-0.26690035735183654,0.9395473766318693,-0.25902435085876657,0.0,0.779700445239618,-0.5427403570277033,0.8991876784643215,1.0
128,anymote,-0.06633502250393407,0.9999999999999989,-0.0,0.0,0.03175600979088653,-0.15062231117464858,0.2519912827466275,1.0
129,anyone,-0.21267835564761767,0.9604068737146274,-0.13518215819119186,0.0,0.8953253332968728,0.3176355970619925,0.8554775394708496,1.0
130,anything,-0.23336746248544363,0.9580377198240687,-0.1572083718269338,0.0,-0.027306882959622195,-0.9496073933775151,0.8839131938078648,1.0
131,anytime,-0.22864431941385494,0.9999999999999984,-1.6300725115057937e-15,0.0,0.20512267402156256,-0.3003136273544849,0.48396756832204796,1.0
132,anyway,-0.18390728523069813,0.9843633048071057,-0.04616578139789448,0.0,0.39022114643843675,-0.8654989575599281,0.7286751662973253,1.0
133,anyways,-0.1876453035188303,0.9964926028166782,-0.010565716043881065,0.0,0.3552903841612494,-0.06269312769973974,0.5376627665524496,1.0
134,anywhere,-0.17458352394472035,0.9999999999999984,-1.2446572216342477e-15,0.0,-0.22376925242105608,-0.11455130726715479,0.48396756832204796,1.0
135,apart,-0.26964317333981597,0.9837222685054935,-0.07046275129630701,0.0,-0.029950308118598706,0.3099777494504224,0.4909274246694307,1.0
136,apartment,-0.10563746932532217,0.9999999999999989,-0.0,0.0,-0.13031337657409772,-0.22240056594464924,0.3440216211186347,1.0
137,apathetic,-0.1253125928493612,0.9999999999999989,-0.0,0.0,0.2032555308798693,-0.31881446257247553,0.3440216211186347,1.0
138,apologies,-0.2122522641488671,0.9999999999999989,-0.0,0.0,-0.039084785669311665,-0.13085724703363122,0.3440216211186347,1.0
139,apologize,-0.06262483080783074,0.9999999999999989,-0.0,0.0,0.16862319422753425,-0.2817875892547535,0.3440216211186347,1.0
140,apologized,-0.21620204649817407,0.9795697645470599,-0.07091032225298873,0.0,-0.018629737356001822,0.01635364223128398,0.3255802149534502,1.0
141,apparent,-0.2354522245331396,0.9999999999999989,-0.0,0.0,0.06046365139131318,-0.34017589698384054,0.3440216211186347,1.0
142,apparently,-0.29371294099409645,0.9951514340065959,-0.0228619189003029,0.0,0.36955497167106194,-0.4504722757867854,0.4975910255127676,1.0
143,appearance,-0.19029717297767212,0.9999999999999989,-0.0,0.0,-0.1943356296433426,-0.1891001797821476,0.3440216211186347,1.0
144,appeared,-0.17544643348409322,0.9999999999999989,-0.0,0.0,0.014572276362681316,-0.05859521791955079,0.3440216211186347,1.0
145,appears,-0.21892778933236495,0.9999999999999989,-0.0,0.0,-0.09621353887593476,-0.21349717951607908,0.3440216211186347,1.0
146,application,-0.3227106786394199,0.9999999999999989,-0.0,0.0,-0.06547412623232343,-0.03335951259295651,0.2519912827466275,1.0
147,applied,-0.3685249377336136,0.991837346138034,-0.04829192848326086,0.0,0.06086453590072849,0.11363166465708628,0.43410695327126697,1.0
148,apply,-0.18230353075170844,0.9999999999999989,-0.0,0.0,0.03978989972556789,-0.22254852577586107,0.3440216211186347,1.0
149,appointments,-0.21765828256039874,0.9863140522060059,-0.0478218489958296,0.0,0.6632649908488258,-0.5205869633884934,0.5994541629872474,1.0
150,appreciate,-0.09707536892146182,0.9920073244642812,-0.012455969022098976,0.0,-0.4838175270300749,0.03762922611560182,0.5101233912693706,1.0
151,appreciated,0.11600058794770093,0.9999999999999988,2.0675056591915433e-16,0.0,0.00573237713701213,-0.1345544189651112,0.3255802149534502,1.0
152,appreciative,-0.016367279059786737,0.9999999999999989,-0.0,0.0,-0.06375398319199836,-0.32341474771855794,0.3440216211186347,1.0
153,apprenticeship,-0.20972786196119858,0.9918373461380338,-0.0274829784194924,0.0,0.34707751404264053,-0.13326800064310412,0.43410695327126697,1.0
154,approaching,0.07641743147029371,0.9999999999999989,0.0,0.0,-0.19072583348433364,-0.08868098333639092,0.3440216211186347,1.0
155,argue,-0.3353176568240449,0.9795697645470599,-0.1099780667557692,0.0,-0.13664133549848312,-0.10508787752811093,0.3255802149534502,1.0
156,argued,0.2283740082312678,0.9999999999999989,0.0,0.0,-0.027271310150101633,-0.08445801255827708,0.3440216211186347,1.0
157,arguing,-0.2972952293310444,0.9999999999999989,-0.0,0.0,0.3987601559808683,0.19837246824788451,0.4435990101561753,1.0
158,arguments,-0.10835658006228473,0.9999999999999989,-0.0,0.0,-0.1198461683855015,-0.19764038504302558,0.3440216211186347,1.0
159,armed,-0.05855252660306142,0.9999999999999989,-0.0,0.0,-0.12251692682024401,-0.209790736266585,0.3440216211186347,1.0
160,around,-0.18916077539926213,0.9666901502157575,-0.10115329786559545,0.0,-0.7287948799756858,0.6093889943132749,0.809547783275498,1.0
161,arrested,-0.37029256384015224,0.9894998600775197,-0.06241893635629841,0.0,-0.5761588466875726,0.2670610206978801,0.5160324316779521,1.0
162,arrives,-0.2565872937270382,0.9795697645470599,-0.08415594569480735,0.0,-0.05303471262237003,0.006421519942725307,0.3255802149534502,1.0
163,articulate,-0.2630715394011423,0.9697238998682461,-0.12786452975252144,0.0,-0.13490605980709636,-0.16711259986065413,0.2805375488771341,1.0
164,asked,-0.1535587705242058,0.9974506908997766,-0.006284538762248591,0.0,0.2456502050550262,-0.6862615422120877,0.5775714977000778,1.0
165,asking,-0.1316574191581965,0.9690202634915072,-0.06547859377003566,0.0,0.2958952686231332,-0.7124021569107994,0.5924943066398647,1.0
166,asleep,-0.17010828298834638,0.97305732146132,-0.07357707472118875,0.0,0.08964866111661937,-0.6836189792194726,0.5653649821904827,1.0
167,asocial,-0.04500197292610882,0.9795697645470599,-0.014759825144567262,0.0,-0.22981928630168105,-0.238282837909617,0.3255802149534502,1.0
168,aspect,-0.16158709238336852,0.9796133097990328,-0.05288465510267239,0.0,-0.1285056756342625,-0.37620516691511435,0.41319981130919714,1.0
169,aspergers,-0.08445429758691124,0.9796133097990329,-0.027640428043755893,0.0,-0.2860196361359531,0.013448003620278183,0.41319981130919714,1.0
