words,type,token,indegree_unw,outdegree_unw,degree_unw,indegree_wei,outdegree_wei,cc_unw,cc_wei,pageRank_unw,pageRank_wei,hubs_unw,hubs_wei,authorities_unw,authorities_wei,incloseness_unw,outcloseness_unw,incloseness_wei,outcloseness_wei,betweenness_unw,betweenness_wei
万能,6,8,6,19,25,0.193638602776534,1,0.0451505016722408,0.00188378639629268,3.29488183746103e-05,2.99443751497199e-05,0.000198235732318723,0.000351232507721422,3.14854651676813e-05,5.98467755303344e-06,2.57858229545396e-05,2.78543773153951e-05,2.76182327085723e-05,2.99466683931862e-05,15659.3547408154,18666
万里,4,8,4,10,14,0.197414038079,1,0.0674157303370786,0.00442069208536671,3.37387351346083e-05,3.91080095251562e-05,3.83401006707723e-05,1.25623199565871e-05,1.66329737010191e-05,7.14773228528386e-06,2.5531045751634e-05,2.6089225150013e-05,2.76067108980602e-05,2.88994560903724e-05,1767.42925443487,2656
丈夫,22,54,22,17,39,1.20283646606877,1,0.120244565217391,0.00724435341041746,0.000127614718722994,0.00016487137170884,0.000103111752185262,1.37554853204392e-05,0.000160846522065444,3.1849819745009e-05,2.96771130104463e-05,2.6529421128031e-05,3.21716125923161e-05,2.84081404656208e-05,14066.0447368436,13375
三,8,26,8,15,23,0.638235629601372,1,0.0677290836653386,0.00522087033660062,4.41044433563577e-05,6.14271032846492e-05,0.000146770602056693,4.39333431409517e-05,2.58340245285076e-05,5.96095600667382e-05,2.65385738170431e-05,2.65090263234631e-05,2.90319449332555e-05,2.8520783485718e-05,11207.0286585099,15469.5
三体,14,28,14,11,25,0.649056734783813,1,0.0673400673400673,0.00485835972911622,8.86834140646008e-05,7.43916542356568e-05,6.19397439204653e-05,4.60921164448277e-05,5.64235139335688e-05,3.88995602065163e-05,2.91689758772569e-05,2.56871307474955e-05,3.14963892106032e-05,2.78292051964956e-05,7424.13651119321,10562
三国,21,45,21,8,29,1.75108761605539,1,0.0348258706467662,0.00236481226851045,8.0508868344505e-05,0.000123582451187158,2.75411280812349e-05,2.0361758925861e-05,7.01230433047853e-05,3.98072803319971e-05,2.7359781121751e-05,2.53871541000254e-05,3.10509102384084e-05,2.76351603373021e-05,9388.45232639483,24376
三峡,12,32,12,10,22,0.834489260016493,1,0.108888888888889,0.00892888812007078,5.2743602385117e-05,5.29659176663199e-05,3.44262733375763e-05,3.59808822995637e-05,3.8268337651837e-05,6.13215578639052e-05,2.62267565370191e-05,2.53729828478636e-05,2.81700899723684e-05,2.75704661451095e-05,9346.99844895789,17046
三文鱼,10,30,10,18,28,0.744689310238091,1,0.127688172043011,0.00743972975897751,6.68106348652899e-05,5.16970981190258e-05,7.22543742328995e-05,2.9342949617797e-05,3.50970072165253e-05,2.73758793730542e-05,2.75558004960044e-05,2.59121061359867e-05,2.94171996962698e-05,2.78770128031379e-05,37355.2278348121,37519
三明治,7,8,7,19,26,0.252300009257857,1,0.115740740740741,0.00623719600311543,3.65667422200677e-05,2.53024772584974e-05,8.85853650392589e-05,3.42055444290189e-05,2.78211459848832e-05,9.00453296226708e-06,2.56062274345121e-05,2.6054558244965e-05,2.71871810118157e-05,2.7987746620049e-05,13461.1938272053,12684
三月,7,10,7,18,25,0.16202833122148,1,0.0878378378378378,0.00502231421402445,5.01457782636961e-05,3.0040619376926e-05,4.04542614919369e-05,1.48302769663103e-05,2.51467167171059e-05,4.84231436829836e-06,2.65604249667995e-05,2.61855508130614e-05,2.83833675936117e-05,2.83575045664475e-05,9249.63586666456,8317.5
三次,1,6,1,19,20,0.130434782608696,1,0.0502645502645503,0.0042603564771812,1.60559896361163e-05,1.92848847708943e-05,7.81975096719318e-05,2.5446726896771e-05,5.97042704391857e-06,4.03993301853371e-06,1.89731719348841e-05,2.7708506511499e-05,2.09778949360956e-05,2.96328367055262e-05,317.485543334907,794
三维,13,25,13,13,26,0.689176177386432,1,0.0543478260869565,0.00253070217601022,7.3176770821795e-05,5.63768999653102e-05,4.99171831883552e-05,3.48142557892022e-05,4.2126518856729e-05,2.25816596402484e-05,2.83961835529305e-05,2.63560170786991e-05,3.0783296628784e-05,2.8609309815657e-05,8654.73748839988,14274
三脚架,4,4,4,18,22,0.0963744723764373,1,0.0909090909090909,0.00644562260974976,2.8876392727871e-05,2.07655462865633e-05,5.10709705629141e-05,1.60782511109816e-05,1.33834316500215e-05,3.03385490047624e-06,2.57493047687712e-05,2.71613656734661e-05,2.71946279310707e-05,2.89529055394848e-05,4396.21391337011,4133
三观,16,41,16,23,39,0.911590940535646,1,0.0837874659400545,0.00451522247399419,7.09086921689607e-05,7.33435639521423e-05,0.000113996887765266,1.85625236516651e-05,9.51604155990131e-05,3.81533136292457e-05,2.8513586724074e-05,2.80151281692114e-05,3.06267197958898e-05,2.98820902694248e-05,29123.4497204195,31568
三角,18,22,18,19,37,0.544241520122309,1,0.0694864048338369,0.00386488861245184,7.10796015721917e-05,4.64711199701951e-05,6.82043023190121e-05,2.9236955104046e-05,4.88905341265107e-05,4.41183179125966e-05,2.75747966358748e-05,2.723979188799e-05,2.95910921516113e-05,2.90301990631984e-05,19401.8363562456,17518
