Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
钨丝,2,2,2,4,13,1
护眼,2,2,2,6,7,5
璀璨夺目,1,1,1,1,1,1
手术灯,1,1,1,3,3,3
暖黄色,1,1,1,2,2,2
舞美,1,1,1,3,3,3
启明灯,1,1,1,2,2,2
照亮,2,4,1,9,13,6
伍尔夫,2,2,2,2,2,2
灯塔旅馆,1,1,1,1,1,1
鹅銮鼻,1,1,1,1,1,1
指明方向,1,1,1,1,1,1
广州塔,2,2,2,3,3,3
换灯泡,1,1,1,3,3,3
黄色的光,1,1,1,2,2,2
钨,1,1,1,1,1,1
光管,1,1,1,1,1,1
灯丝,2,2,2,5,7,4
要玻璃,1,1,1,1,1,1
灭了,1,1,1,2,2,2
通明,1,5,0,3,12,2
万家灯火,1,5,0,4,12,3
灯火辉煌,1,1,1,2,2,2
阑珊,2,7,1,5,16,4
万家,1,4,0,1,6,0
灯火阑珊,1,2,0,6,9,4
孔明灯,1,1,1,8,9,7
火种,2,2,2,7,7,7
hills,1,1,1,1,1,1
火候,1,1,1,7,7,7
喧噪,1,1,1,1,1,1
元宵节,4,7,3,16,25,12
打着灯笼,1,1,1,1,1,1
高高挂,1,1,1,1,2,0
灯笼裤,1,1,1,1,1,1
挂起,1,1,1,1,1,1
灯笼火,1,1,1,1,1,1
张灯,1,1,1,1,1,1
灯笼鬼,1,1,1,1,1,1
灰度,1,1,1,2,2,2
ash,1,1,1,1,1,1
灰飞烟灭,1,1,1,7,7,7
雷姬,1,1,1,1,1,1
新的瑞拉,1,1,1,1,1,1
辛杜瑞拉,1,1,1,1,2,0
白马王子,2,5,0,7,12,5
辛德瑞拉,1,3,0,3,5,2
仙德瑞拉,1,1,1,1,1,1
南瓜马车,1,1,1,4,5,3
辛德蕾拉,1,1,1,1,1,1
玻璃鞋,1,1,1,1,3,0
鸡毛掸子,1,1,1,4,4,4
浮尘,1,1,1,6,6,6
没信心,1,1,1,3,4,2
心灰意冷,2,2,2,8,10,7
晦暗,2,2,2,5,5,5
罅隙,2,2,2,6,6,6
黑暗面,1,1,1,4,4,4
房间的角落,1,1,1,1,1,1
色系,1,1,1,4,4,4
视网膜,2,2,2,8,9,7
飞灰湮灭,1,1,1,1,1,1
复联三,1,1,1,1,1,1
灰烬使者,1,1,1,1,1,1
骨灰,5,5,5,19,25,14
灰层,1,1,1,3,3,3
酷姐姐,1,1,1,1,1,1
之灵,1,1,1,2,2,2
点燃的火柴,1,1,1,1,1,1
gray,1,1,1,1,1,1
冷色,2,2,2,3,3,3
奉太郎,1,1,1,1,1,1
亚麻灰,1,1,1,1,1,1
灵异现象,1,1,1,1,1,1
神异,1,1,1,1,1,1
玄幻小说,2,2,2,6,6,6
细思极恐,1,1,1,3,3,3
通灵少女,1,1,1,2,2,2
没灵感,1,1,1,1,1,1
没有灵感,1,1,1,1,1,1
写小说,1,1,1,1,1,1
上升的气流,1,1,1,1,1,1
闵玧其,1,1,1,1,1,1
灵光一现,1,2,0,2,4,1
灵敏度,1,2,0,2,3,1
身手矫健,1,1,1,1,1,1
神经多,1,1,1,1,1,1
反应快,1,1,1,3,5,1
沈灵敏,1,1,1,1,1,1
灵活的胖子,1,1,1,1,2,0
小个子,3,3,3,4,4,4
灵动,6,6,6,19,24,15
身手灵活,1,1,1,1,1,1
不呆板,1,1,1,1,1,1
身轻如燕,1,1,1,4,4,4
灵活多变,1,1,1,1,1,1
魂魄,4,9,1,9,19,6
双重人格,1,1,1,5,5,5
破壳,2,2,2,3,4,2
歌者,2,3,1,3,4,2
白影,1,1,1,1,1,1
出窍,1,4,0,1,5,0
瑜洲,1,1,1,1,1,1
山洪,1,1,1,5,5,5
自然灾难,1,1,1,1,1,1
人命关天,1,1,1,3,3,3
百姓受难,1,1,1,1,1,1
天老爷,1,1,1,1,1,1
catastrophe,1,1,1,1,1,1
幸灾乐祸,1,1,1,4,4,4
由天,1,1,1,1,1,1
人间地狱,1,1,1,1,1,1
幸存,1,2,0,3,4,2
千阳,1,1,1,1,1,1
武者小路实笃,1,1,1,1,1,1
灿烂千阳,1,1,1,1,2,0
灿烂在六月,1,1,1,1,1,1
红泥,1,1,1,2,2,2
太乙真人,1,1,1,1,1,1
驴子,7,10,4,9,17,4
煤气中毒,1,1,1,2,2,2
炉台,1,1,1,3,3,3
茅草房,1,1,1,1,1,1
茅草屋,3,3,3,13,14,12
渺渺,2,2,2,3,3,3
灶灰,1,1,1,1,1,1
农家,1,1,1,6,7,5
炊烟袅袅,2,3,1,3,4,2
利群,1,1,1,3,3,3
袅袅升起,1,1,1,1,1,1
炎龙,1,1,1,1,1,1
撒哈拉大沙漠,1,1,1,2,2,2
青椒肉丝,2,2,2,5,5,5
莲菜,2,2,2,2,2,2
煎,2,3,1,8,13,5
宫保鸡丁,2,2,2,12,12,12
炖菜,1,1,1,2,2,2
好香,2,2,2,6,6,6
西红柿炒蛋,1,1,1,4,4,4
饭堂,5,5,5,14,15,13
锅子,4,4,4,13,14,12
炒面,5,5,5,8,13,6
少放盐,1,1,1,2,2,2
手拿炒锅,1,1,1,1,1,1
葱花,4,9,3,16,35,10
刘仪伟,1,1,1,1,1,1
铁制品,1,1,1,6,6,6
炒勺,1,1,1,3,3,3
榨菜,8,8,8,17,22,13
干锅,1,2,0,7,10,4
菜香,1,1,1,1,1,1
炒笨鸡,1,1,1,1,1,1
肉丁,1,1,1,1,1,1
西红柿鸡蛋,1,1,1,2,2,2
家常饭,1,1,1,1,1,1
虾仁,1,2,0,9,17,6
酸菜肉丝,1,1,1,1,1,1
炒瓢,1,1,1,2,2,2
放葱花,1,1,1,1,1,1
丢饭碗,1,1,1,1,1,1
铁板鱿鱼,2,2,2,2,4,1
鱿鱼丝,2,2,2,2,3,1
卷铺盖,1,1,1,2,3,1
辞退,2,2,2,5,7,4
工作没了,1,1,1,1,1,1
爆炒鱿鱼,1,1,1,1,1,1
不称职,1,1,1,2,2,2
自讨没趣,1,1,1,1,1,1
李光耀,1,1,1,1,1,1
耀武扬威,1,1,1,4,4,4
夸耀,2,3,1,5,7,4
夸,7,7,7,9,9,9
竹炭,2,2,2,2,3,1
生灵涂炭,1,1,1,4,4,4
木炭,1,3,0,5,9,4
烧炭,1,1,1,1,1,1
媒,2,2,2,2,3,1
炭灰,1,1,1,2,2,2
卖炭翁,2,2,2,6,7,5
跟火有关系,1,1,1,1,1,1
迫击炮,3,4,2,5,8,2
马后炮,1,1,1,7,7,7
炮姐,1,1,1,4,4,4
施琅,1,1,1,1,1,1
炮灰,4,4,4,10,11,9
放炮,4,4,4,9,11,8
万丽娜,1,1,1,1,1,1
糖衣,2,10,0,3,13,1
弹片,1,1,1,2,2,2
向我开炮,1,1,1,1,1,1
穿甲弹,1,1,1,1,1,1
弹坑,1,1,1,1,1,1
榴弹炮,1,1,1,1,1,1
膛线,1,1,1,1,1,1
炮火连天,1,1,1,2,2,2
烽烟,1,1,1,2,2,2
炸鱼,1,2,0,3,4,2
炸锅锅,1,1,1,1,1,1
炸鸡腿,1,1,1,1,2,0
泡泡堂,1,1,1,2,2,2
炸弹魔,1,1,1,1,1,1
拆弹部队,2,2,2,2,2,2
引爆,1,1,1,3,4,2
明诚,1,1,1,2,2,2
tnt,1,1,1,2,3,1
炸学校,1,1,1,3,3,3
C4,1,2,0,1,2,0
炮竹,2,2,2,7,7,7
残肢断臂,1,1,1,2,2,2
硝化甘油,1,1,1,1,1,1
药店,3,3,3,15,25,9
滚油,1,1,1,1,1,1
脆皮,1,2,0,8,15,5
香香鸡,1,1,1,1,1,1
点爆,1,1,1,1,1,1
波点,5,7,3,11,18,6
点点点,1,1,1,2,2,2
线面,1,1,1,2,2,2
chick,1,1,1,1,1,1
就送屠龙宝刀,1,1,1,1,1,1
屠龙宝刀,2,2,2,2,2,2
拖动,2,2,2,5,5,5
点击就送,1,1,1,2,2,2
点击量,1,1,1,1,2,0
就送,1,1,1,1,1,1
鸡啄米,1,1,1,1,1,1
绿豆沙,1,1,1,3,4,2
稻香村,2,3,1,4,6,3
蛋挞,5,7,4,10,25,4
方锐,1,1,1,3,3,3
提拉米苏,3,3,3,6,8,4
马卡龙,6,9,4,7,12,5
蛋糕饼干,1,1,1,1,1,1
点餐,3,4,2,7,10,5
一点水,1,1,1,1,3,0
蜻蜓点水,2,3,1,3,4,2
灯明,1,1,1,1,1,1
火吧,1,1,1,1,1,1
玩火,1,1,1,1,1,1
就不,2,2,2,5,5,5
贴子,1,1,1,2,2,2
小红心,1,1,1,1,2,0
拼过,1,1,1,1,1,1
有虫,1,1,1,3,3,3
烂透了,1,1,1,1,1,1
懒虫,2,2,2,5,5,5
腐坏,2,2,2,9,9,9
山花,1,5,0,3,16,2
春花,2,3,1,4,5,3
狼牙山五壮士,1,1,1,3,3,3
陵园,1,3,0,5,12,3
狼牙山,1,1,1,1,1,1
赵一曼,1,1,1,1,1,1
暮年,1,1,1,4,4,4
牺牲的,1,1,1,1,1,1
人民英雄纪念碑,2,2,2,5,5,5
当头,1,2,0,3,4,2
白色光线,1,1,1,1,1,1
当空,1,3,0,2,6,1
灼心,1,1,1,1,1,1
烈日灼心,1,2,0,2,3,1
高阳,2,2,2,2,2,2
烈日当空,1,2,0,1,3,0
夏太阳,1,1,1,1,1,1
好晒,1,1,1,1,1,1
高照,1,1,1,1,1,1
温度高,1,1,1,2,2,2
段奕宏,1,1,1,2,2,2
烈日炎炎,1,1,1,3,3,3
骄阳,1,2,0,3,4,2
小蛋糕,1,1,1,2,2,2
用火烘干,1,1,1,1,1,1
烘焙手套,1,1,1,1,1,1
法事,1,1,1,2,2,2
烛光里的妈妈,1,1,1,1,1,1
橘黄,2,2,2,7,7,7
光度,1,1,1,3,3,3
晚班,1,1,1,2,2,2
电子烟,1,1,1,2,2,2
瘦削苍白的手,1,1,1,1,1,1
戒烟,1,1,1,10,16,5
陈叔叔,1,1,1,1,1,1
翠烟渺渺,1,1,1,1,1,1
烟味,4,4,4,15,18,12
烟卷厂,1,1,1,1,1,1
旱烟,1,1,1,2,3,1
睁眼看中国,1,1,1,1,1,1
白烟,1,2,0,2,3,1
眼圈,1,1,1,1,1,1
大漠孤烟直,2,2,2,7,7,7
又见炊烟升起,1,1,1,1,1,1
卖布头,1,1,1,1,1,1
烟丝,1,1,1,8,14,6
两杆大烟枪,1,1,1,1,1,1
大烟枪,1,1,1,1,1,1
烟杆,1,1,1,2,3,1
缭绕,4,6,3,8,13,6
烟火气,1,1,1,3,3,3
呲花,1,1,1,1,1,1
花火大会,1,1,1,1,1,1
烟臭,1,1,1,1,1,1
弥漫,5,10,2,11,27,6
烟缸,1,1,1,3,3,3
烟蒂,1,1,1,4,5,3
叶xiu,1,1,1,1,1,1
砸破,1,1,1,1,1,1
咖啡色,3,3,3,8,11,6
抽烟有害,1,1,1,1,1,1
灰蓝色,3,3,3,4,4,4
倒掉,1,1,1,1,1,1
易冷,1,1,1,1,2,0
三尺玉,1,1,1,1,1,1
专供,1,1,1,1,1,1
烟草公司,1,1,1,1,3,0
烟草局,1,1,1,2,2,2
亮点,1,1,1,2,2,2
中国烟草,1,1,1,1,2,0
烟雾弹,1,2,0,2,3,1
固体颗粒,1,1,1,1,1,1
报警器,1,2,0,3,5,2
烤羊腿,1,1,1,2,2,2
烤制,1,1,1,1,1,1
炙,1,1,1,1,2,0
灼烤,1,1,1,1,1,1
烤面包,1,1,1,4,4,4
羊腿,2,2,2,3,3,3
全羊,1,1,1,1,2,0
烤炉,2,2,2,8,9,7
烤机,1,1,1,1,1,1
烤盘,1,1,1,2,2,2
牛角包,1,1,1,2,2,2
没熟,1,1,1,2,2,2
孜然,6,9,5,12,43,6
滋啦滋啦,1,1,1,1,1,1
肉食,4,4,4,9,9,9
串,4,5,3,11,14,9
滋滋滋,1,1,1,3,3,3
滋滋,3,3,3,5,6,4
抚顺,2,2,2,2,2,2
焦黄,2,2,2,3,3,3
你会,1,1,1,1,1,1
土耳其烤肉,1,1,1,2,2,2
BBQ,3,6,2,3,8,1
烤鸟,1,1,1,1,1,1
蒜香,1,1,1,1,1,1
空气炸锅,2,2,2,7,8,6
肉类的香味,1,1,1,1,1,1
香气四溢,2,2,2,2,2,2
外焦里嫩,1,1,1,1,2,0
烤鹅,2,2,2,4,6,2
窑鸡,1,1,1,1,1,1
一团乱麻,1,1,1,4,4,4
恼,1,6,0,4,9,3
躁,2,4,0,5,9,2
烦死,2,2,2,3,3,3
挑拨离间,1,1,1,3,3,3
自寻烦恼,1,1,1,1,1,1
烦人精,1,1,1,2,2,2
你真烦人,1,1,1,1,1,1
烦乱,1,1,1,1,2,0
任贤齐,1,1,1,3,3,3
女高中生,1,1,1,4,4,4
通通忘掉,1,1,1,1,1,1
夏洛特,2,3,1,2,3,1
好烦哦,1,1,1,1,1,1
躁狂,1,1,1,6,7,5
心请,1,1,1,1,1,1
遭人,1,1,1,1,1,1
无法排解,1,1,1,1,1,1
焦,3,3,3,5,8,2
火烧,2,3,1,6,8,5
心火烧,1,1,1,1,1,1
FFF,1,1,1,5,6,4
尊哥,1,1,1,1,1,1
灼伤,2,8,1,2,9,0
烧伤,3,4,2,15,20,12
burn,1,1,1,3,3,3
严重的伤口,1,1,1,1,1,1
九院,1,1,1,1,1,1
被火烧伤,1,1,1,1,1,1
化学实验室,1,1,1,3,3,3
酒精喷灯,1,1,1,1,1,1
肉串,2,2,2,4,6,3
大排档,3,3,3,7,7,7
致癌,2,2,2,8,12,6
路边烧烤,1,1,1,1,1,1
烤羊肉串,1,1,1,1,1,1
露天,4,6,2,11,18,7
AA,3,3,3,3,3,3
直颈,1,1,1,1,1,1
化学仪器,1,1,1,1,1,1
化学课,1,1,1,3,3,3
圆底烧瓶,1,2,0,1,2,0
锥形瓶,2,2,2,7,7,7
华夫饼,1,1,1,2,2,2
蒸馏水,1,1,1,2,3,1
滴管,3,3,3,9,14,4
烧酒,1,1,1,2,2,2
哎哟烫,1,1,1,1,1,1
烫烫烫,1,1,1,1,1,1
山芋,2,6,1,3,7,2
烤红薯,1,1,1,8,8,8
hot,3,3,3,3,3,3
脱,2,2,2,7,7,7
热带鱼,3,4,2,7,13,4
亚热带,2,2,2,5,6,4
赤道,2,2,2,9,16,7
棕榈树,2,2,2,7,8,6
热带林,1,1,1,1,1,1
热气腾腾,2,2,2,14,16,13
杂酱面,2,2,2,2,2,2
朝阳群众,1,1,1,2,2,2
朝阳区群众,1,1,1,1,1,1
老大妈,1,1,1,1,1,1
帮助老人,1,1,1,1,1,1
心肠,3,3,3,6,7,5
邻人,1,1,1,2,2,2
好客,3,3,3,8,12,7
热恋期,1,1,1,1,1,1
热带海滩,1,1,1,1,1,1
好的情绪,1,1,1,1,1,1
热情似火,1,2,0,1,2,0
招架,1,1,1,1,1,1
泼冷水,1,1,1,1,1,1
宽待,1,1,1,1,1,1
好相处的人,1,1,1,1,1,1
腾腾,1,6,0,1,6,0
蒸腾,1,3,0,2,4,1
热气流,1,1,1,1,1,1
热乎,2,2,2,5,5,5
热空气,1,1,1,2,2,2
温暖冷气,1,1,1,1,1,1
环游,1,1,1,4,4,4
我们结婚了,1,1,1,1,1,1
大气压强,1,1,1,1,1,1
喝热水,1,1,1,2,2,2
多喝,2,2,2,2,2,2
不喝热水,1,1,1,1,1,1
很烫,1,1,1,1,1,1
火烈鸟,2,2,2,8,8,8
接机,1,1,1,7,7,7
多一度,1,1,1,1,1,1
如痴如醉,2,2,2,4,5,3
钟爱,1,1,1,3,4,2
钟情,1,1,1,2,2,2
热衷,1,2,0,2,5,1
拨打,1,3,0,1,6,0
接线员,2,2,2,3,4,2
市政电话,1,1,1,1,1,1
热线电话,1,1,1,1,1,1
市长热线,1,2,0,1,2,0
恒温动物,1,1,1,1,1,1
满腔,1,1,1,1,1,1
抛头颅,1,1,1,1,2,0
量入为出,1,1,1,4,4,4
能量守恒,1,1,1,2,2,2
散失,2,3,1,3,4,2
热闹非凡,1,1,1,2,2,2
人气十足,1,1,1,1,1,1
灶,2,4,1,5,7,4
小锅,1,1,1,1,1,1
葱油面,1,1,1,2,2,2
吃食,2,2,2,4,4,4
大师傅,1,1,1,1,1,1
烧毁,1,3,0,4,6,3
焚书,1,1,1,1,1,1
一干二净,1,1,1,1,1,1
屯集,1,1,1,1,1,1
捉急,2,2,2,4,4,4
泛焦,1,1,1,1,1,1
镁光灯,2,2,2,4,5,3
热点,4,4,4,16,21,13
白岩松,1,1,1,4,4,4
注意我,1,1,1,1,1,1
众目,1,1,1,1,1,1
透镜,2,2,2,2,2,2
寝食难安,1,1,1,4,4,4
焦虑不安,1,1,1,1,1,1
就没有然后了,1,2,0,1,3,0
then,1,1,1,1,1,1
下一步,1,1,1,6,6,6
未完,1,1,1,3,3,3
就没有了然后,1,1,1,1,1,1
就行了,1,1,1,1,1,1
我不是你,1,1,1,1,1,1
并没有用,1,1,1,1,1,1
没有卵用,1,1,1,1,1,1
并没有什么用,1,1,1,1,1,1
苦海,2,5,1,5,11,4
桐昆,1,1,1,1,1,1
生活困苦,1,1,1,2,2,2
煎包,1,1,1,1,1,1
磋磨,1,1,1,1,1,1
李佳薇,1,1,1,1,1,1
备受,1,1,1,1,1,1
溏心,1,1,1,1,5,0
煮蛋,2,3,1,2,3,1
太阳蛋,1,1,1,2,2,2
煎蒸,1,1,1,1,1,1
蒸蛋,1,1,1,3,3,3
烟枪,2,2,2,5,6,4
半熟,1,1,1,3,3,3
煎饺,1,2,0,4,10,3
碳水爆炸,1,1,1,1,1,1
水煎包,1,1,1,1,1,1
山东煎饼,1,1,1,2,2,2
薄脆,2,2,2,3,4,2
鸡蛋灌饼,1,2,0,2,3,1
煤老板,1,1,1,6,10,3
一清二白,1,1,1,2,2,2
炭,1,3,0,4,7,3
煤建,1,1,1,1,1,1
山西煤老板,1,1,1,2,2,2
煤球,3,3,3,6,8,5
炉,1,1,1,4,4,4
煤气罐,2,6,1,6,13,5
泄漏,2,3,1,9,10,8
气魄,3,3,3,11,11,11
煤炭龟,1,1,1,1,1,1
煤灰,1,1,1,3,3,3
停产,1,1,1,1,1,1
蜂窝煤,2,4,1,5,12,2
合成气,1,1,1,1,1,1
烧灼,1,1,1,4,5,3
藕煤,1,1,1,1,1,1
黑炭,1,1,1,2,2,2
黑脸,1,1,1,3,3,3
开滦,1,1,1,1,1,1
妖镜,1,1,1,1,1,1
齐神,1,1,1,1,1,1
照样,1,1,1,1,1,1
照耀,2,2,2,12,18,9
日召点,1,1,1,1,1,1
灯具,1,1,1,2,2,2
电子相框,1,1,1,1,1,1
发黄,2,2,2,3,3,3
证件照,3,3,3,8,10,6
暗房,1,1,1,2,2,2
胶片傻瓜机,1,1,1,1,1,1
卡片机,1,1,1,3,3,3
摄魂者,1,1,1,1,1,1
傻瓜相机,2,2,2,2,2,2
尼康,2,2,2,4,5,3
美图,5,6,4,12,13,11
快门,2,2,2,7,11,5
老式照相机,1,1,1,1,1,1
照看,1,1,1,2,5,1
沸,1,2,0,1,2,0
关东,1,1,1,2,2,2
煮熟,1,1,1,4,5,3
七步诗,1,1,1,4,4,4
青梅,1,1,1,5,5,5
关东煮,1,1,1,9,10,8
汤面,3,3,3,7,8,6
煤油灯,1,1,1,2,2,2
灭世,1,1,1,2,2,2
掐灭,1,1,1,1,1,1
吹灭,1,1,1,3,4,2
空空,4,5,3,6,8,4
熊掌,2,6,0,5,12,3
掌,2,2,2,6,9,4
出没,1,1,1,2,3,1
熊罴,1,1,1,1,1,1
胆,3,3,3,6,7,5
熊家长,1,3,0,3,6,2
熊爹妈,1,2,0,1,2,0
狼孩子,1,1,1,1,1,1
家庭教育,1,1,1,5,5,5
讨人厌,2,2,2,16,17,15
熊父母,1,1,1,1,1,1
意外死亡,1,1,1,2,2,2
该打,1,1,1,3,3,3
淘,1,1,1,3,3,3
朝朝,1,1,1,1,1,1
猫熊,1,1,1,1,1,1
熏烤,1,1,1,1,2,0
烟熏,1,3,0,8,13,6
薰,1,1,1,1,1,1
熏香,4,8,3,7,11,6
鸭,6,15,5,31,78,21
香薰,7,10,5,18,30,13
臭烘烘,2,2,2,3,3,3
羽黑,1,1,1,1,1,1
陶,2,2,2,7,8,6
杀熟,1,1,1,1,1,1
透,2,2,2,4,4,4
熟络,2,3,1,4,5,3
食物成熟,1,1,1,1,1,1
熟食,2,2,2,6,11,5
面熟,1,1,1,2,2,2
生人,1,1,1,3,3,3
常客,1,1,1,2,2,2
黄家园,1,1,1,1,1,1
关系亲密,1,1,1,4,4,4
熟知,1,1,1,5,6,4
深深的,2,2,2,4,4,4
个人体验,1,1,1,1,1,1
开车技术,1,1,1,1,1,1
熟稔,1,1,1,2,2,2
油瓶,1,1,1,1,1,1
膜法,2,4,1,7,11,5
倒库,1,1,1,1,1,1
冬马,1,1,1,1,1,1
一蹴而就,1,1,1,2,2,2
熊猫眼,2,2,2,2,2,2
赶稿,2,2,2,5,5,5
有害的,2,2,2,4,4,4
熊熊烈火,1,1,1,2,2,2
蚊香,5,5,5,9,19,5
孙楠,1,1,1,4,4,4
木香,1,1,1,2,2,2
可燃物,1,1,1,3,4,2
burning,1,1,1,2,2,2
燕窝,4,12,2,8,24,5
飞了,2,2,2,3,3,3
回巢,1,1,1,1,1,1
小燕子穿花衣,1,1,1,1,1,1
穿花衣,1,1,1,1,1,1
花衣服,1,1,1,3,3,3
归家,1,1,1,2,2,2
高飞,3,3,3,4,4,4
执事,1,1,1,6,7,5
可以冲水喝,1,1,1,1,1,1
燕麦片,1,1,1,1,1,1
燕麦粥,2,2,2,2,2,2
贵格,1,1,1,2,3,1
超常发挥,1,1,1,1,1,1
井喷,1,1,1,2,2,2
超新星,1,1,1,2,2,2
人固有一死,1,1,1,1,1,1
宫野真守,1,1,1,5,5,5
巨响,1,1,1,8,8,8
暴恐,1,1,1,5,6,4
爆炸物,1,1,1,2,2,2
化学爆炸,1,1,1,1,1,1
声中一岁除,1,2,0,1,3,0
一岁除,1,1,1,1,2,0
粪坑,1,1,1,2,2,2
屠苏,2,3,1,3,4,2
竹轮,1,1,1,2,2,2
声声,2,2,2,2,2,2
爆竹声中一岁除,2,2,2,2,3,1
生生辞旧岁,1,1,1,1,1,1
爆米花机,1,1,1,1,1,1
狗爪,1,1,1,1,1,1
动物的手脚,1,1,1,1,1,1
瓜皮,2,2,2,5,12,4
鸭爪爪火锅,1,1,1,1,1,1
橘猫,2,2,2,7,7,7
卤味,1,1,1,3,3,3
猫爪爪,1,1,1,1,1,1
蹄子,2,2,2,5,5,5
菜虫,2,2,2,2,3,1
天梯,2,2,2,5,5,5
爬虫,4,6,2,7,9,5
四肢着地,1,1,1,1,1,1
攀,1,1,1,2,3,1
双层床,1,1,1,2,2,2
登高,4,4,4,16,20,12
四方山,1,1,1,1,1,1
北部,2,2,2,5,5,5
登顶,1,1,1,7,8,6
涉水,1,2,0,1,2,0
张东升,1,1,1,1,1,1
登山包,2,2,2,2,5,1
蛐蜒,1,1,1,1,1,1
爬动,1,1,1,3,3,3
两栖类,1,1,1,4,4,4
sweet,2,2,2,2,2,2
人人渴求,1,1,1,1,1,1
我爱罗,2,2,2,3,3,3
葬爱家族,2,2,2,5,8,2
关心的,1,1,1,1,1,1
不爱你,1,1,1,1,1,1
轻吻,1,1,1,2,2,2
deva,1,1,1,1,1,1
肉麻,2,2,2,6,7,5
爱你哟,1,1,1,2,2,2
爱你呦,1,1,1,1,2,0
真的么,2,2,2,3,3,3
恨你,1,1,1,2,3,1
物理学家,3,3,3,6,7,5
脑阔,1,1,1,1,1,1
灰头发,1,1,1,2,2,2
抵制韩货,1,1,1,1,1,1
我爱祖国,1,1,1,1,1,1
郝爱国,1,1,1,1,1,1
爱国者,1,2,0,1,3,0
爱家,1,1,1,1,1,1
踢球,4,7,2,8,16,6
个性化,3,3,3,7,8,6
哈特,1,1,1,1,1,1
献爱心,1,1,1,2,5,0
捐衣服,1,1,1,1,1,1
软妹,1,1,1,5,6,4
爱惜,5,8,3,14,28,9
冰心,2,2,2,12,12,12
周敦颐,2,2,2,3,3,3
张爱莲,1,1,1,1,1,1
张易之,1,1,1,1,1,1
不一定有,1,1,1,1,1,1
有爱的,1,1,1,1,1,1
正浓,1,1,1,1,1,1
绵绵,1,1,1,4,5,3
倾吐,2,2,2,2,2,2
炽烈,1,1,1,1,1,1
爱上你万岁,1,1,1,1,1,1
思恋,1,1,1,3,3,3
愿言怀人,1,1,1,1,1,1
热恋,1,1,1,15,17,14
爱慕之心,1,1,1,1,1,1
内衣牌子,1,1,1,1,1,1
爱慕威,1,1,1,1,1,1
前戏,1,1,1,3,3,3
私处,2,2,2,6,6,6
红十字标志,1,1,1,1,1,1
小八,1,1,1,1,1,1
豆豆,6,7,5,9,13,7
我团,1,1,1,2,2,2
bp,2,2,2,3,3,3
詹森,1,1,1,1,1,1
啥鸡巴玩意,1,1,1,1,1,1
直流电,1,1,1,2,3,1
拉斯特,1,1,1,1,1,1
发明灯泡,1,1,1,1,1,1
高司令,1,1,1,1,1,1
伊恩麦克莱恩,1,1,1,1,1,1
起舞,3,31,2,8,39,7
爵士乐,3,3,3,6,6,6
阿瑟柯南道尔,1,1,1,1,1,1
爵士舞,1,1,1,3,5,2
筷子兄弟,1,1,1,2,3,1
真诚信,1,1,1,1,1,1
爷娘,1,1,1,2,2,2
parents,1,1,1,1,1,1
双亲,1,1,1,5,6,4
双亡,1,1,1,1,1,1
赡养老人,1,1,1,2,2,2
离丧,1,1,1,1,1,1
北方话,1,1,1,1,1,1
祖父,3,9,2,6,18,4
爷爷的脸,1,1,1,1,1,1
花白,2,2,2,3,3,3
健朗,1,1,1,1,1,1
中风,2,2,2,7,8,6
我爱的,1,1,1,3,3,3
想离开,1,1,1,1,1,1
我爸爸,1,1,1,1,1,1
伟大的,1,1,1,2,2,2
靠山,2,5,1,8,16,5
笑眯眯,2,2,2,6,6,6
拼脸,1,1,1,1,1,1
釜,1,1,1,1,1,1
歪歪,1,1,1,3,4,2
麒麟啤酒,1,1,1,1,1,1
倍儿爽,1,1,1,1,1,1
哈尔滨啤酒,1,1,1,1,1,1
好爽,1,1,1,3,3,3
口直心快,2,2,2,2,2,2
大剌剌,1,1,1,1,1,1
爽妹子,1,1,1,1,1,1
喝可乐,1,1,1,2,2,2
健谈,1,1,1,8,8,8
爽太,1,1,1,1,1,1
鳞,2,2,2,2,3,1
三级片,2,2,2,4,4,4
片酬,1,1,1,1,1,1
鳞片,3,3,3,8,11,5
片寄凉太,1,1,1,1,1,1
片桐,1,1,1,1,1,1
片儿川,2,2,2,3,3,3
即刻,2,3,1,6,11,4
一时,2,2,2,4,6,3
等一会,1,1,1,2,3,1
烧掉,3,3,3,3,3,3
脸谱化,1,1,1,2,2,2
一叶障目,4,4,4,7,9,5
不客观,1,1,1,3,5,2
题西林壁,1,1,1,2,2,2
考虑问题,1,1,1,1,1,1
之词,1,3,0,1,3,0
单方面,1,1,1,5,5,5
面片,1,1,1,1,1,1
单方面的,1,1,1,1,1,1
片面之词,1,2,0,1,2,0
以偏概全,1,1,1,3,4,2
一号,3,3,3,5,6,4
板板,1,1,1,1,1,1
授权,2,2,2,4,4,4
最新版本,1,1,1,1,1,1
初版,1,1,1,1,1,1
初代,2,2,2,3,3,3
版权意识,1,1,1,1,1,1
大风刮过,1,1,1,2,2,2
虾米音乐,1,1,1,1,1,1
出书,1,1,1,4,4,4
追讨,1,1,1,1,1,1
牌牌琦,1,1,1,1,1,1
立牌,1,1,1,2,2,2
棋牌,3,3,3,4,4,4
专卖店,1,1,1,3,3,3
门牌,2,2,2,5,6,4
纪梵希,1,1,1,7,7,7
Armani,1,1,1,1,1,1
翻牌子,1,2,0,1,2,0
六神,1,1,1,4,4,4
精工手表,1,1,1,1,1,1
运动鞋,7,8,6,23,29,18
