Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
衣食住行,1,1,1,8,13,6
豪宅,10,11,9,17,26,13
捂住,1,1,1,4,5,3
呵斥,3,9,1,15,23,13
谩骂,6,9,5,13,17,12
扇脸,1,1,1,2,2,2
扇,2,2,2,4,4,4
话唠,8,13,5,16,26,12
住口,1,4,0,2,5,1
闭上,1,1,1,2,2,2
你给我住嘴,1,1,1,1,1,1
给我住嘴,1,1,1,1,1,1
话多,12,20,9,19,46,12
别再说了,1,1,1,1,1,1
尔康手,1,1,1,1,1,1
一楼,2,2,2,5,5,5
楼房,30,47,20,70,118,50
居住地,2,3,1,2,3,1
住所,8,14,6,21,34,17
归宿,5,5,5,15,15,15
住址,6,9,4,9,16,5
居家产所,1,1,1,1,1,1
现居住地,1,1,1,1,1,1
很远,4,4,4,17,19,15
安稳,15,29,10,53,89,41
改造,7,9,5,28,36,21
高层,6,6,6,27,29,26
安宁,8,12,5,35,50,28
基地,14,18,12,35,46,30
住宅楼,1,1,1,1,1,1
家用,6,8,4,11,17,9
居民区,1,1,1,3,3,3
青年住宅,1,1,1,1,1,1
集体生活,1,1,1,1,1,1
民居,2,2,2,2,2,2
装潢,7,8,6,15,22,11
六人,2,2,2,4,5,3
民宿,3,4,2,9,12,8
住宿门,1,1,1,1,1,1
旅店,5,8,3,8,16,5
就是说,1,1,1,1,1,1
住的,1,1,1,2,2,2
环境卫生,1,1,1,1,1,1
奇葩,17,25,13,47,62,39
青年旅店,1,1,1,2,2,2
Airbnb,2,2,2,2,2,2
舍友,21,27,18,47,63,43
职工公寓,1,1,1,1,1,1
开房,4,21,2,13,38,8
高楼,41,77,32,91,165,66
买房,19,24,14,59,80,49
买不起,9,10,8,31,56,21
住宅,11,13,9,31,41,24
结实,14,29,10,58,97,44
短缺,3,5,2,10,15,7
租金,8,23,4,17,60,6
租房,12,26,6,28,66,16
刚需,2,3,1,7,8,6
八万一平,1,1,1,1,1,1
空缺,6,6,6,12,14,10
茅屋为秋风所破歌,2,2,2,2,2,2
设施,13,20,7,41,74,26
家具,41,65,30,109,219,72
蜗居,2,3,1,12,14,10
长春,2,2,2,4,4,4
街道,53,90,43,136,226,100
住所地,1,1,1,1,1,1
小巷,22,48,13,44,92,30
住处,3,3,3,4,6,2
派出所,9,15,5,32,56,23
公寓,10,12,9,32,41,27
场所,19,22,17,44,69,29
别动,1,3,0,3,5,2
停手,2,9,0,2,15,0
呼喊,16,28,11,27,52,17
等等,6,9,4,15,22,12
打住,1,1,1,6,6,6
住嘴,1,1,1,1,1,1
尔康,7,13,5,14,25,9
周杰,1,1,1,2,2,2
企住,1,1,1,1,1,1
群殴,3,3,3,10,13,8
桥头麻袋,1,1,1,1,1,1
喊,13,28,10,23,56,16
别打了,1,1,1,1,1,1
阻止,16,29,12,26,58,18
消毒水,10,16,7,33,55,24
省立二院,1,1,1,1,1,1
病院,5,6,4,7,8,6
肿瘤,13,33,8,23,86,17
姥爷,8,15,6,35,53,30
院长,4,4,4,11,16,10
病床,9,10,8,33,49,26
正方体,20,35,16,34,56,28
人体,32,50,21,93,139,74
体温计,3,3,3,6,7,5
体能,5,5,5,14,17,12
育,3,6,1,5,11,1
体检,11,17,7,31,55,23
体位,3,3,3,9,10,8
体积,18,45,12,51,112,34
身,3,3,3,6,7,5
体育课,13,16,11,28,39,23
宽容,22,59,14,53,130,34
感同身受,8,18,5,16,47,9
感受,33,55,24,92,165,71
颇多,1,1,1,3,3,3
感悟,4,5,3,10,14,7
体感,1,1,1,1,1,1
体现,3,3,3,13,13,13
观后感,2,3,1,4,5,3
心酸,9,10,8,41,46,36
同感,8,9,7,10,17,6
悟,2,2,2,4,5,3
固化,5,11,3,10,21,8
僵化,6,6,6,17,20,14
僵硬,14,18,11,41,50,35
内,5,21,2,8,39,2
国企,8,21,6,17,43,14
考编,1,1,1,2,2,2
机制,13,14,12,26,31,23
不支,1,3,0,1,5,0
充满,12,19,7,19,38,12
弱,17,38,10,45,83,32
体能测试,3,3,3,3,3,3
耐力,10,20,5,18,39,10
体格,5,5,5,14,16,13
透支,5,5,5,20,25,16
运动饮料,1,1,1,2,2,2
活,12,18,8,27,43,19
训练,23,29,21,75,104,61
运动锻炼,1,1,1,1,1,1
