trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
54,237,189,237,186,237,186,237,288,432,414,432,288,414,143,414,432,124,324,367,14,296,249,431,213,431,213,431,213,431,213,431,299,207,23,207,262,250,172,255,25,255,69,255,177,298,177,175,177,411,158,13,158,13,295,153,89,153,90,153,90,153,110,153,110
55,382,53,368,382,256,382,368,53,382,230,382,415,85,201,85,190,198,147,417,320,417,118,121,31,118,417,148,74,305,74,305,74,305,74,305,74,305,74,305,74,305,74,148,74,148,74,148,417,200,85,415,361,72,127,72,127,72,127,72,127,72,127,72,128
56,30,206,30,206,55,206,30,310,216,310,216,310,216,310,30,206,55,152,297,152,297,1,297,2,152,2,152,55,206,55,206,55,206,152,2,297,2,152,297,1,297,1,297,1,297,2,152,206,55,206,55,206,152,2,152,2,152,2,152,34,359,34,152,34
57,89,153,247,329,201,329,126,59,35,59,295,59,126,118,121,118,121,3,121,118,386,118,31,121,118,3,426,315,87,315,87,315,426,3,121,3,121,3,120,3,121,3,120,3,118,417,118,84,386,84,100,168,100,84,100,84,118,121,31,426,315,87,177,38
58,191,421,141,224,397,348,204,348,113,204,348,204,348,204,348,397,348,204,113,348,397,352,29,323,362,4,362,14,367,79,324,79,324,79,319,79,367,79,367,14,362,4,362,323,29,352,397,224,397,224,397,348,63,106,130,373,412,373,170,226,170,226,170,18
59,355,151,164,150,164,151,164,150,306,218,306,218,332,379,44,379,44,379,184,358,351,358,184,125,184,428,404,264,403,76,403,428,184,428,404,264,177,13,280,13,158,13,280,13,177,404,177,175,177,264,177,411,11,115,12,115,302,115,224,141,224,141,421,191
60,245,436,245,436,245,436,245,192,245,436,245,192,245,192,245,436,245,192,245,263,245,436,292,291,178,23,322,262,207,262,250,172,255,317,303,317,303,317,255,287,255,177,87,281,199,139,12,115,68,11,286,386,84,118,84,118,252,95,252,118,100,168,81,417
61,275,333,275,333,275,333,275,210,27,210,27,210,417,168,81,168,417,423,417,118,121,31,121,3,426,315,37,315,37,315,38,315,38,124,324,79,324,79,319,146,319,146,182,15,182,154,343,154,343,154,182,146,319,146,182,154,343,154,343,154,22,276,422,276
62,346,233,346,233,346,353,396,353,220,176,33,353,33,220,353,220,353,396,353,396,259,353,33,353,220,141,220,141,392,141,392,141,33,220,353,220,353,396,259,68,11,197,95,252,95,252,424,36,277,165,277,36,104,270,104,230,104,230,382,435,87,177,38,315
63,213,431,249,296,195,296,249,45,249,431,213,431,213,431,46,241,292,291,292,436,245,436,245,192,245,436,245,436,245,436,245,263,245,436,245,263,245,263,245,192,245,436,245,263,245,192,245,263,245,436,245,192,245,436,245,436,245,436,245,436,245,436,292,291
