trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
10,358,184,125,184,125,184,125,184,125,184,125,184,125,184,125,184,428,403,428,403,76,403,428,403,428,403,76,403,428,403,428,403,428,403,428,403,76,403,428,403,298,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177,175,177
11,386,84,386,84,386,84,386,84,118,386,84,118,3,121,3,118,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,95,252,424,36,424,36,424,166,424,36,424,36,424,388,424,36,424
12,33,220,33,220,33,220,33,220,33,353,396,353,220,33,220,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353,396,353
13,114,248,119,248,114,248,114,248,114,223,222,223,222,94,223,222,223,222,223,94,222,94,222,300,222,300,222,223,222,94,222,300,65,364,140,311,140,364,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,311,140,311
14,246,325,246,325,246,325,246,325,246,325,246,325,246,325,246,325,246,325,246,10,239,10,239,10,239,10,239,10,239,10,239,10,239,96,239,10,239,10,239,96,239,10,239,10,239,10,239,96,239,10,239,10,239,10,239,10,239,10,239,9,239,10,239,96
15,293,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,293,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384,363,384
16,248,119,248,114,248,114,248,114,248,114,248,114,248,114,223,222,223,222,94,223,114,248,114,248,114,248,114,248,120,248,114,248,114,248,114,248,114,248,114,248,119,248,120,248,114,248,114,248,114,248,188,248,114,248,114,248,114,248,114,248,114,248,114,248
17,368,382,256,382,256,382,256,382,435,382,256,382,256,382,256,382,256,382,256,382,256,382,256,382,256,382,256,382,230,104,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,104,270,105
18,9,239,10,239,96,239,10,239,10,239,10,239,96,239,10,239,10,239,10,239,96,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239
19,158,280,13,295,13,295,13,158,280,158,13,295,13,295,13,280,158,13,158,13,158,13,158,13,158,13,158,280,13,158,13,295,13,158,280,13,295,13,158,13,158,280,13,295,13,158,13,158,13,158,280,158,280,158,13,158,13,295,13,295,13,158,13,158
