node_index,node,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
83,clothes,-0.02,0.930224,-0.0027910394,0.4425,0.20534654,0.47354096,0.25494713,-0.64416754
84,coffee,0.24722233,0.7507763,0.12322734,0.5,-0.505384,0.63129497,-0.14336532,1.0
85,cold,-0.18858033,0.90457594,-0.03599021,-0.17,0.51643777,0.61880994,0.71326935,-0.7383177
86,college,0.416667,0.8240618,0.14661527,0.36,0.3585482,-0.37624627,-0.45952368,0.048113532
87,color,-0.4625,0.8548299,-0.13428235,0.5125,-0.11785458,-0.6116625,0.397111,-0.56141675
88,computer,0.1,0.92868924,0.014262153,0.46,-0.54045105,0.5297383,-0.45952368,-0.72108763
89,cook,0.076923,0.0,0.153846,0.53,0.7452594,0.2711992,-1.0,-0.8172378
90,cooking,0.076923,0.0,0.153846,0.4425,0.7483164,0.27146494,-1.0,-0.8172378
91,cool,0.111111,0.0,0.222222,0.455,0.5202672,0.62243557,-1.0,-0.8172378
92,copy,-0.42222235,1.0,-1.8750439000000001e-16,0.055,-0.16667108,0.61293167,-0.14336532,-0.75233644
93,corn,0.333333,0.0,0.666666,0.2375,0.33776018,0.20355798,-1.0,-0.8172378
94,court,0.416667,0.9603568,0.03303603,-0.37,0.61032265,0.029678738,-0.45952368,0.048113532
95,cow,-0.064814664,0.6081235,-0.05079869,0.105,-0.73333913,0.2794853,-0.14336532,-0.298027
96,crazy,0.333333,0.0,0.666666,0.035,-0.12933904,-0.4178184,-1.0,-0.8172378
97,crime,0.375,1.0,0.0,-0.7625,0.0047368305,0.56822526,-0.45952368,0.048113532
98,criminal,-0.0266666,0.99522597,-0.00025461553,-0.7225,0.0149483625,0.5667669,0.25494713,-0.39417714
99,cry,-0.111111335,0.9117602,-0.019608883,-0.445,-0.22017726,-0.5396002,-0.14336532,-0.75233644
100,cup,0.10625,0.79221755,0.044153772,0.235,-0.50521654,0.6335099,0.080952615,0.79023886
101,cut,-0.125,0.7219281,-0.06951798,-0.275,0.062397223,-0.70012194,-0.45952368,-0.72108763
102,cute,-0.08095233,0.9001039,-0.01617364,0.64,0.45316124,-0.6177897,-0.14336532,-0.298027
103,dance,0.2,0.0,0.4,0.5675,-0.6421652,0.1430836,-1.0,-0.8172378
104,dark,-0.43273824,0.8701508,-0.11238143,0.02,0.33607826,0.2738728,0.080952615,-0.8047767
105,day,-0.354762,0.5754852,-0.3012034,0.34,0.22926676,0.25455168,-0.14336532,-0.75233644
106,death,-0.3366666,0.84385055,-0.10514063,-0.7775,-0.46642134,0.13928592,0.25494713,-0.64416754
107,deer,0.111111,0.0,0.222222,0.4725,-0.7277694,0.26753208,-1.0,-0.8172378
108,desert,0.111111,0.0,0.222222,0.09,0.54600424,0.5981753,-1.0,-0.8172378
109,different,-0.0833335,0.81398433,-0.031002674,0.2275,-0.20075388,-0.32144216,-0.45952368,-0.72108763
110,dinner,0.096154,0.7973265,0.038975734,0.35,0.74941087,0.27181062,-0.45952368,0.048113532
111,dirt,0.2,0.0,0.4,-0.125,-0.49530533,-0.31748676,-1.0,-0.8172378
112,dirty,0.5,0.0,1.0,-0.4575,-0.6915066,-0.20225619,-1.0,-0.8172378
113,disease,0.1625,0.948537,0.01672547,-0.83,-0.5257017,0.17139782,0.080952615,0.29179648
114,doctor,-0.2083335,0.7282677,-0.11322187,0.2325,0.6087527,-0.0012076983,-0.45952368,-0.72108763
115,dog,-0.1866668,0.67999315,-0.11946931,0.5,-0.7164671,0.27139422,0.25494713,-0.64416754
116,down,-0.30555567,0.6156868,-0.23485816,0.0,0.12569308,0.15803435,-0.14336532,-0.75233644
117,dress,-0.275,0.95871186,-0.022708464,0.355,0.14095572,0.40164328,-0.45952368,-0.72108763
118,drink,-0.2441667,0.941566,-0.028535264,0.4175,-0.5103418,0.6364948,0.79542345,-0.32533336
119,drug,-0.2083335,0.82805574,-0.0716435,-0.2225,0.6849686,-0.06270369,-0.45952368,-0.72108763
120,drugs,-0.275,1.0,-0.0,-0.285,0.01710215,0.20075808,-0.45952368,-0.72108763
121,drunk,0.25277767,0.8061572,0.09799828,-0.235,-0.51355046,0.64202845,-0.14336532,1.0
122,dumb,0.5,0.62486666,0.3751333,-0.64,0.6281815,-0.42754823,-0.45952368,0.048113532
123,ear,-0.0208335,0.9957275,-0.00017802426,0.215,0.34642464,-0.72448635,-0.45952368,-0.72108763
124,earth,-0.4416666,0.86346984,-0.12060165,0.4575,-0.50411785,-0.34697685,0.25494713,-0.8556979
125,easy,0.1,0.0,0.2,0.6175,0.21317601,-0.13694714,-1.0,-0.8172378
126,eat,-0.2411538,0.7027351,-0.14337312,0.525,0.73762316,0.2686786,0.25494713,-0.39417714
127,egg,0.333333,0.0,0.666666,0.2375,0.72626287,0.40620926,-1.0,-0.8172378
128,eggs,0.125,0.87934786,0.030163042,0.0,0.7384338,0.38421503,-0.45952368,-0.72108763
129,electricity,-0.3035715,0.78309673,-0.13169132,0.2875,0.46252206,0.091454186,-0.45952368,-0.72108763
130,end,-0.275,0.94573814,-0.02984404,-0.0675,-0.43388548,0.13404696,-0.45952368,-0.72108763
131,evil,0.15,0.8014699,0.059559032,-0.665,0.441797,-0.4423456,-0.45952368,0.048113532
132,eye,-0.18518533,0.92812663,-0.026619796,0.295,0.01360562,-0.33285415,-0.14336532,-0.75233644
133,eyes,-0.29,0.93961906,-0.035020933,0.3925,0.20242713,-0.6295493,0.25494713,-0.64416754
134,face,-0.061111,0.7400661,-0.031769644,0.34,0.34454954,-0.7292011,-0.14336532,-0.298027
135,fake,0.25,0.0,0.5,-0.595,0.36444023,-0.50021404,-1.0,-0.8172378
136,fall,-0.2083335,0.77310264,-0.09454065,-0.2775,0.27127457,0.40587354,-0.45952368,-0.72108763
137,false,-0.18750025,0.7303511,-0.101118475,-0.4325,0.36413798,-0.49576294,0.080952615,-0.8047767
138,family,-0.2083335,0.94945204,-0.021061677,0.5625,-0.407069,-0.35821185,-0.45952368,-0.72108763
139,farm,-0.25462967,0.96551937,-0.01755957,0.305,-0.7295924,0.25142252,-0.14336532,-0.75233644
140,fast,-0.18541674,0.7612003,-0.08855493,0.0,-0.6791792,-0.07375188,0.080952615,-0.8047767
141,fat,-0.2283334,0.9690806,-0.014119858,-0.565,-0.4128759,0.51709086,0.25494713,-0.64416754
142,female,-0.18253967,0.8339676,-0.06061499,0.63,0.30776754,-0.5573641,-0.14336532,-0.298027
143,fight,0.166667,0.0,0.333334,-0.365,-0.46165285,-0.10525064,-1.0,-0.8172378
144,film,0.0,0.34549958,0.0,0.3325,-0.34839815,-0.42240536,-0.45952368,-0.72108763
145,find,0.1666665,0.9957275,0.0014241812,0.3625,0.013634142,-0.27815557,-0.45952368,-0.72108763
146,finger,-0.166667,0.9979645,-0.00067851006,0.2,-0.48941013,-0.1884674,-0.45952368,-0.72108763
147,fire,-0.28125,0.9145085,-0.048088957,-0.17,0.48503685,0.61220574,0.080952615,-0.5057113
148,fish,-0.2083335,0.9293636,-0.029431846,0.355,0.22473551,0.7371786,-0.45952368,-0.72108763
149,fix,0.5,0.0,1.0,0.2775,-0.5041288,0.6490565,-1.0,-0.8172378
150,flower,-0.125,1.0,-0.0,0.575,0.5630024,-0.42591423,-0.45952368,-0.72108763
151,flowers,-0.266667,0.8500031,-0.07999845,0.0,0.45095602,-0.6424506,-0.14336532,-0.75233644
